NameID,Name
12804990,Adelia barbinervis Schltdl. & Cham.
50320380,Adelia brandegeei V.W. Steinm.
50235050,Adelia cinerea (Wiggins & Rollins) A. Cerv., V.W. Steinm. & Flores Olv.
12805276,Adelia oaxacana (Müll. Arg.) Hemsl.
50168859,Adelia obovata Wiggins & Rollins
12802520,Adelia triloba (Müll. Arg.) Hemsl.
12804918,Adelia vaseyi (J.M. Coult.) Pax & K. Hoffm.
100436994,Adelinia grandis (Douglas ex Lehm.) J.I. Cohen
20300009,Adelobotrys adscendens (Sw.) Triana
50299640,Adelphia hiraea (Gaertn.) W.R. Anderson
19200024,Adenaria floribunda Kunth
3700053,Adenocalymma inundatum Mart. ex DC.
50142633,Adenocalymma sousae A.H. Gentry
2700022,Adenocaulon bicolor Hook.
2726177,Adenocaulon lyratum S.F. Blake
26607572,Adenoderris sororia Maxon
2734473,Adenophyllum anomalum (Canby & Rose) Strother
2734479,Adenophyllum aurantium (L.) Strother
50276063,Adenophyllum cancellatum (Cass.) Villarreal
2734490,Adenophyllum cooperi (A. Gray) Strother
2734495,Adenophyllum glandulosum (Cav.) Strother
2734537,Adenophyllum porophylloides (A. Gray) Strother
50278434,Adenophyllum pulcherrimum (Strother) Villarreal
2734544,Adenophyllum speciosum (A. Gray) Strother
2734546,Adenophyllum squamosum (A. Gray) Strother
2734513,Adenophyllum wrightii A. Gray
100447125,Adenophyllum yecanorum B.L. Turner
100475702,Adenophyllum yecoranum B.L. Turner
13068279,Adenopodia gymnantha Brenan
13068278,Adenopodia oaxacana M. Sousa
2704398,Adenostemma hirtiflorum Benth.
27801458,Adenostoma fasciculatum Hook. & Arn.
27801460,Adenostoma sparsifolium Torr.
50186274,Adenothamnus validus (Brandegee) D.D. Keck
26606577,Adiantopsis radiata (L.) Fée
26621339,Adiantopsis seemannii (Hook.) Maxon
100398335,Adiantum alan-smithii R.Y. Hirai, Sundue & J. Prado
26609167,Adiantum aleuticum (Rupr.) C.A. Paris
26621344,Adiantum amblyopteridium Mickel & Beitel
26616805,Adiantum amplum C. Presl
26606986,Adiantum andicola Liebm.
26606987,Adiantum braunii Mett. ex Kuhn
